date,Predicted Variable
2017-01-02,0.1705989837646484
2017-01-09,0.184026375412941
2017-01-16,0.1969098001718521
2017-01-23,0.2085976302623749
2017-01-30,0.2230784893035889
2017-02-06,0.2384988069534302
2017-02-13,0.2589474320411682
2017-02-20,0.2817485630512238
2017-02-27,0.3079372346401215
2017-03-06,0.3422659635543823
2017-03-13,0.3693877756595612
2017-03-20,0.3870106637477875
2017-03-27,0.3967945873737335
2017-04-03,0.4065278470516205
2017-04-10,0.4192565977573395
2017-04-17,0.430561900138855
2017-04-24,0.4417999386787415
2017-05-01,0.4568442404270172
2017-05-08,0.4754678010940552
2017-05-15,0.4966062903404236
2017-05-22,0.5222252607345581
2017-05-29,0.5474482774734497
2017-06-05,0.5746279358863831
2017-06-12,0.6013813018798828
2017-06-19,0.61930251121521
2017-06-26,0.6323750615119934
2017-07-03,0.644340455532074
2017-07-10,0.6563698649406433
2017-07-17,0.6578285694122314
2017-07-24,0.6640710830688477
2017-07-31,0.6715251803398132
2017-08-07,0.6869962215423584
2017-08-14,0.705765426158905
2017-08-21,0.7273595333099365
2017-08-28,0.7509357929229736
2017-09-04,0.7757642865180969
2017-09-11,0.7971968650817871
2017-09-18,0.8131821751594543
2017-09-25,0.8236983418464661
2017-10-02,0.8359244465827942
2017-10-09,0.8499096035957336
2017-10-16,0.8674101829528809
2017-10-23,0.8848292827606201
2017-10-30,0.8972551226615906
2017-11-06,0.9077886343002319
2017-11-13,0.9116047620773315
2017-11-20,0.9136151671409607
2017-11-27,0.9153297543525696
2017-12-04,0.9166196584701538
2017-12-11,0.9182766675949097
2017-12-18,0.9191591739654541
2017-12-25,0.909279465675354
2018-01-01,0.8934035897254944
2018-01-08,0.8757590651512146
2018-01-15,0.8499455451965332
2018-01-22,0.816260039806366
2018-01-29,0.7744559049606323
2018-02-05,0.7250309586524963
2018-02-12,0.6689287424087524
2018-02-19,0.6223084330558777
2018-02-26,0.5790152549743652
2018-03-05,0.5490631461143494
2018-03-12,0.5148724913597107
2018-03-19,0.4741106331348419
2018-03-26,0.4326882362365723
2018-04-02,0.3856634497642517
2018-04-09,0.3390482366085052
2018-04-16,0.2983052432537079
2018-04-23,0.2626625895500183
2018-04-30,0.2324544489383698
2018-05-07,0.2045800536870956
2018-05-14,0.1719612777233124
2018-05-21,0.1376002728939056
2018-05-28,0.0954277440905571
2018-06-04,0.05457163974642754
2018-06-11,0.004399842116981745
2018-06-18,-0.04915478825569153
2018-06-25,-0.1034859120845795
2018-07-02,-0.1530900448560715
2018-07-09,-0.1959585249423981
2018-07-16,-0.2348438948392868
2018-07-23,-0.2637710869312286
2018-07-30,-0.2842550277709961
2018-08-06,-0.3089536130428314
2018-08-13,-0.3444058001041412
2018-08-20,-0.3825358152389526
2018-08-27,-0.422605037689209
2018-09-03,-0.4628468155860901
2018-09-10,-0.50382399559021
2018-09-17,-0.5401871204376221
2018-09-24,-0.5760233402252197
2018-10-01,-0.6140969395637512
2018-10-08,-0.6525676250457764
2018-10-15,-0.6980923414230347
2018-10-22,-0.7433043122291565
